 處理範圍: 1000 ~ 1500 (共 500 users)
ryooo628 -> 88 outfits | ⏱ 53.66s | avg 159.88s                                             
31071504tk -> 138 outfits | ⏱ 174.39s | avg 159.96s                                         
yuinyaaa512 -> 0 outfits | ⏱ 1.80s | avg 159.09s                                            
rck62 -> 812 outfits | ⏱ 555.84s | avg 161.27s                                              
sh18irb221 -> 326 outfits | ⏱ 291.25s | avg 161.98s                                         
iwl4e -> 245 outfits | ⏱ 241.11s | avg 162.41s                                              
pooh3161 -> 74 outfits | ⏱ 45.99s | avg 161.78s                                             
yugochan -> 103 outfits | ⏱ 60.69s | avg 161.24s                                            
sayaka0360549 -> 259 outfits | ⏱ 152.60s | avg 161.19s                                      
atamadeka -> 327 outfits | ⏱ 203.47s | avg 161.42s                                          
rna1316 -> 170 outfits | ⏱ 190.71s | avg 161.57s                                            
mizuki1102 -> 33 outfits | ⏱ 113.96s | avg 161.32s                                          
ms09779 -> 166 outfits | ⏱ 198.56s | avg 161.52s                                            
ms10034 -> 78 outfits | ⏱ 146.33s | avg 161.44s                                             
ms08718 -> 570 outfits | ⏱ 346.93s | avg 162.40s                                            
ms10534 -> 167 outfits | ⏱ 194.61s | avg 162.56s                                            
ms10180 -> 213 outfits | ⏱ 222.32s | avg 162.87s                                            
sakireca -> 431 outfits | ⏱ 342.89s | avg 163.79s                                           
largemen -> 579 outfits | ⏱ 415.92s | avg 165.07s                                           
rfv111 -> 162 outfits | ⏱ 198.76s | avg 165.24s                                             
fuuya15 -> 78 outfits | ⏱ 147.41s | avg 165.15s                                             
k000zu -> 67 outfits | ⏱ 39.47s | avg 164.52s                                               
a100807lip -> 373 outfits | ⏱ 320.79s | avg 165.30s                                         
npink424 -> 400 outfits | ⏱ 238.40s | avg 165.66s                                           
2830moca -> 233 outfits | ⏱ 244.44s | avg 166.05s                                           
osumisan -> 292 outfits | ⏱ 274.85s | avg 166.58s                                           
chi3121 -> 63 outfits | ⏱ 139.24s | avg 166.45s                                             
krnco129t -> 67 outfits | ⏱ 140.43s | avg 166.32s                                           
koukn08 -> 44 outfits | ⏱ 26.59s | avg 165.65s                                              
yukiskuma -> 492 outfits | ⏱ 302.92s | avg 166.31s                                          
oshiiiige17 -> 274 outfits | ⏱ 168.88s | avg 166.32s                                        
shominnohoshi -> 518 outfits | ⏱ 381.29s | avg 167.34s                                      
idumisudoh -> 498 outfits | ⏱ 286.52s | avg 167.91s                                         
ms10478 -> 212 outfits | ⏱ 224.39s | avg 168.17s                                            
kaede626 -> 155 outfits | ⏱ 93.72s | avg 167.82s                                            
nolsugi -> 901 outfits | ⏱ 548.25s | avg 169.60s                                            
